Year,HMNF Total Singing Males,MDNR Total Singing Males,Lower Peninsula,Upper Peninsula,MI Total Singing Males,Wisconsin,Ontario,Rangewide Singing Males,Percent Change from Previous Survey,Minimum Population Objective
1951,237,,432,,432,0,0,432,,
1961,156,,502,,502,0,0,502,16.2,
1971,67,,201,,201,0,0,201,-60,
1972,63,,200,,200,0,0,200,-0.5,
1973,59,,216,,216,0,0,216,8,
1974,44,,167,,167,0,0,167,-22.7,
1975,20,,179,,179,0,0,179,7.2,
1976,34,,200,,200,0,0,200,11.7,
1977,36,,218,,218,0,1,219,9.5,
1978,41,,196,,196,0,0,196,-10.5,
1979,38,,210,,210,0,0,210,7.1,
1980,37,,242,,242,1,0,243,15.7,
1981,36,,232,,232,0,0,232,-4.5,
1982,44,,207,,207,0,0,207,-10.8,
1983,54,,215,,215,0,0,215,3.9,
1984,46,,215,,215,0,0,215,0,
1985,64,,216,,216,0,0,216,0.5,1000
1986,73,,210,,210,0,0,210,-2.8,1000
1987,63,,167,,167,0,0,167,-20.5,1000
1988,105,,207,,207,0,0,207,24,1000
1989,130,,212,,212,0,0,212,2.4,1000
1990,185,,265,,265,1,1,267,25.9,1000
1991,235,,347,,347,1,0,348,30.3,1000
1992,291,,397,,397,0,0,397,14.1,1000
1993,351,,484,1,485,0,0,485,22.2,1000
1994,417,,631,2,633,0,0,633,30.5,1000
1995,442,,758,7,765,0,0,765,20.9,1000
1996,381,,679,14,693,0,0,693,-9.4,1000
1997,346,,709,19,728,3,0,731,5.5,1000
1998,337,,790,14,804,1,0,805,10.1,1000
1999,372,,885,18,903,0,1,904,12.3,1000
2000,367,,883,8,891,0,0,891,-1.4,1000
2001,375,,1077,8,1083,0,0,1085,21.8,1000
2002,355,,1046,6,1052,0,0,1052,-3,1000
2003,423,,1188,14,1202,0,0,1202,14.3,1000
2004,444,,1339,9,1348,0,0,1348,12.1,1000
2005,458,,1397,18,1415,3,0,1418,5.2,1000
2006,462,,1457,21,1478,4,3,1485,4.7,1000
2007,554,,1665,32,1697,8,2,1707,14.9,1000
2008,566,,1757,34,1791,9,3,1803,5.6,1000
2009,589,,1780,33,1813,11,2,1826,1.3,1000
2010,580,,1713,34,1747,22,3,1772,-3,1000
2011,596,1174,1770,35,1805,21,2,1828,3.2,1000
2012,873,1152,2025,38,2063,23,4,2090,14.3,1000
2013,738,1231,1969,31,2000,19,3,2022,-3.3,1000
2014,802,N/A,N/A,31,N/A,11,1,na,N/A,1000
2015,1044,1263,2307,37,2344,19,3,2366,17,1300
2016,1074,N/A,N/A,53,N/A,30,21,na,N/A,1300
2017,1238,866,2104,44,2148,31,13,2192,-7.4,1300
2019,1023,674,1697,40,1737,29,13,na,N/A,1300
2021,1114,1003,2117,67,2184,39,22,2245,2.4,1300
2023,1011,,,,,,,na,N/A,1300
2025,597,814,1411,66,1477,12,33,1522,-32.2,1300
