cycle,N,Nm,Nf,g,pi,mean_fitness,mean_froh,B,het,m2_ind,m3_ind,m4_ind,m5_ind,m6_ind
1000,26869,8147,6044,2.1422,3.13212e-06,0.402338,0.201204,0.0208185,3.13206e-06,1.80863,0.762998,0.400424,0.128624,0.0106815
2000,31931,9911,7100,2.14073,6.16698e-06,0.423918,0.0380184,0.0224,6.16689e-06,3.07688,0.933012,0.556575,0.108077,0.0123391
3000,28150,8749,6303,2.15805,9.30672e-06,0.450377,0.0194124,0.0157562,9.30655e-06,4.31798,0.923055,0.644583,0.0574423,0.00717584
4000,27986,8586,6325,2.1517,1.23839e-05,0.378039,0.0162379,0.0186878,1.23837e-05,5.66458,1.12085,0.681877,0.0911885,0.00696777
5000,28318,8651,6303,2.1201,1.53881e-05,0.392325,0.0152151,0.0210209,1.53879e-05,7.21206,1.26213,0.701109,0.140017,0.00702733
6000,33807,10310,7668,2.12782,1.82766e-05,0.595091,0.0149437,0.0209826,1.82764e-05,7.99471,1.3725,0.620936,0.140267,0.00686248
7000,27956,8569,6172,2.13724,2.11231e-05,0.430217,0.0145305,0.01584,2.11228e-05,9.21759,1.38979,0.566319,0.081521,0.0059379
8000,31711,9759,7127,2.15824,2.40576e-05,0.410822,0.0139815,0.0238655,2.40572e-05,11.3474,1.39245,0.598594,0.143263,0.00397338
9000,32068,10052,7159,2.14107,2.70001e-05,0.573442,0.0137106,0.0278123,2.69996e-05,12.559,1.47409,0.526912,0.142354,0.020706
10000,30856,9579,6915,2.1449,2.99118e-05,0.481405,0.0138278,0.0288472,2.99113e-05,14.1343,1.41127,0.584781,0.144445,0.0199961
11000,28378,8768,6402,2.13856,3.26311e-05,0.466446,0.0137236,0.0311669,3.26305e-05,14.3016,1.34294,0.789309,0.103143,0.0261823
12000,30333,9321,6815,2.15859,3.53518e-05,0.417057,0.0135341,0.0286393,3.53512e-05,16.4485,1.42907,0.755843,0.154782,0.0139122
13000,36228,11134,8229,2.15075,3.81015e-05,0.464315,0.0132976,0.0207961,3.81009e-05,18.0249,1.36303,0.61331,0.17158,0.000855692
